Sno_1,Name_1,kT,clean_name,Sno_2,name_2,norm
623,SWIFTJ1351.5-1814,0.11,SWIFTJ1351.5-1814,767,SWIFTJ1351.5-1814,7.85E-05
624,SWIFTJ1432.8-4412,0.11,SWIFTJ1432.8-4412,408,SWIFTJ1432.8-4412,-99
625,SWIFTJ1512.0-2119,0.11,SWIFTJ1512.0-2119,666,SWIFTJ1512.0-2119,1.42E-05
626,SWIFTJ1731.3+1442,0.11,SWIFTJ1731.3+1442,655,SWIFTJ1731.3+1442,1.02E-05
627,SWIFTJ1848.0-7832,0.11,SWIFTJ1848.0-7832,705,SWIFTJ1848.0-7832,3.01E-05
628,SWIFTJ1938.1-5108,0.11,SWIFTJ1938.1-5108,720,SWIFTJ1938.1-5108,3.39E-05
629,SWIFTJ1947.3+4447,0.11,SWIFTJ1947.3+4447,496,SWIFTJ1947.3+4447,-99
630,SWIFTJ2007.0-3433,0.11,SWIFTJ2007.0-3433,698,SWIFTJ2007.0-3433,2.52E-05
631,SWIFTJ2132.0-3343,0.11,SWIFTJ2132.0-3343,749,SWIFTJ2132.0-3343,5.62E-05
632,SWIFTJ2135.5-6222,0.11,SWIFTJ2135.5-6222,684,SWIFTJ2135.5-6222,2.07E-05
633,SWIFTJ2157.4-0615,0.11,SWIFTJ2157.4-0615,734,SWIFTJ2157.4-0615,4.46E-05
634,SWIFTJ2209.1-2747,0.11,SWIFTJ2209.1-2747,636,SWIFTJ2209.1-2747,6.92E-06
635,SWIFTJ2240.2+0801,0.11,SWIFTJ2240.2+0801,724,SWIFTJ2240.2+0801,3.66E-05
636,SWIFTJ2308.1+4014,0.11,SWIFTJ2308.1+4014,777,SWIFTJ2308.1+4014,9.45E-05
637,SWIFTJ2318.9+0013,0.11,SWIFTJ2318.9+0013,763,SWIFTJ2318.9+0013,7.47E-05
638,SWIFTJ0918.5+1618,0.112,SWIFTJ0918.5+1618,771,SWIFTJ0918.5+1618,8.12E-05
639,SWIFTJ2303.3+0852,0.112,SWIFTJ2303.3+0852,791,SWIFTJ2303.3+0852,0.000134
640,SWIFTJ1535.9+5751,0.113,SWIFTJ1535.9+5751,706,SWIFTJ1535.9+5751,3.02E-05
641,SWIFTJ0311.8-7653,0.116,SWIFTJ0311.8-7653,671,SWIFTJ0311.8-7653,1.64E-05
642,SWIFTJ1218.5+2952,0.116,SWIFTJ1218.5+2952,792,SWIFTJ1218.5+2952,0.000134
643,SWIFTJ0207.0+2931,0.117,SWIFTJ0207.0+2931,723,SWIFTJ0207.0+2931,3.59E-05
644,SWIFTJ0230.2-0900,0.118,SWIFTJ0230.2-0900,769,SWIFTJ0230.2-0900,7.94E-05
645,SWIFTJ0559.8-5028,0.119,SWIFTJ0559.8-5028,764,SWIFTJ0559.8-5028,7.5E-05
646,SWIFTJ0051.9+1724,0.12,SWIFTJ0051.9+1724,753,SWIFTJ0051.9+1724,6.02E-05
647,SWIFTJ0054.9+2524,0.12,SWIFTJ0054.9+2524,699,SWIFTJ0054.9+2524,2.69E-05
648,SWIFTJ0225.8-6315,0.12,SWIFTJ0225.8-6315,645,SWIFTJ0225.8-6315,8.32E-06
649,SWIFTJ0234.6-0848,0.12,SWIFTJ0234.6-0848,811,SWIFTJ0234.6-0848,0.000195
650,SWIFTJ0308.5-7251,0.12,SWIFTJ0308.5-7251,719,SWIFTJ0308.5-7251,3.38E-05
651,SWIFTJ0516.2-0009,0.12,SWIFTJ0516.2-0009,800,SWIFTJ0516.2-0009,0.000158
652,SWIFTJ0552.5+5929,0.12,SWIFTJ0552.5+5929,715,SWIFTJ0552.5+5929,3.27E-05
653,SWIFTJ0923.6-2136,0.12,SWIFTJ0923.6-2136,694,SWIFTJ0923.6-2136,2.34E-05
654,SWIFTJ1139.1+5913,0.12,SWIFTJ1139.1+5913,718,SWIFTJ1139.1+5913,3.37E-05
655,SWIFTJ1145.6-1819,0.12,SWIFTJ1145.6-1819,750,SWIFTJ1145.6-1819,5.73E-05
656,SWIFTJ1316.9-7155,0.12,SWIFTJ1316.9-7155,651,SWIFTJ1316.9-7155,8.87E-06
657,SWIFTJ1506.7+0353A,0.12,SWIFTJ1506.7+0353,697,SWIFTJ1506.7+0353,2.49E-05
658,SWIFTJ1626.7+8530,0.12,SWIFTJ1626.7+8530,728,SWIFTJ1626.7+8530,3.96E-05
659,SWIFTJ1747.8+6837B,0.12,SWIFTJ1747.8+6837,640,SWIFTJ1747.8+6837,7.34E-06
660,SWIFTJ1842.0+7945,0.12,SWIFTJ1842.0+7945,813,SWIFTJ1842.0+7945,0.000208
661,SWIFTJ2044.0+2832,0.12,SWIFTJ2044.0+2832,784,SWIFTJ2044.0+2832,0.000116
662,SWIFTJ2217.0+1413,0.12,SWIFTJ2217.0+1413,828,SWIFTJ2217.0+1413,0.00109
663,SWIFTJ0010.5+1057,0.122,SWIFTJ0010.5+1057,752,SWIFTJ0010.5+1057,5.98E-05
664,SWIFTJ2304.8-0843,0.124,SWIFTJ2304.8-0843,708,SWIFTJ2304.8-0843,3.07E-05
665,SWIFTJ1203.0+4433,0.126,SWIFTJ1203.0+4433,807,SWIFTJ1203.0+4433,0.000173
666,SWIFTJ0516.4-1034,0.129,SWIFTJ0516.4-1034,711,SWIFTJ0516.4-1034,3.12E-05
667,SWIFTJ0034.5-7904,0.13,SWIFTJ0034.5-7904,721,SWIFTJ0034.5-7904,3.5E-05
668,SWIFTJ0036.3+4540,0.13,SWIFTJ0036.3+4540,690,SWIFTJ0036.3+4540,2.23E-05
669,SWIFTJ0450.7-5813,0.13,SWIFTJ0450.7-5813,682,SWIFTJ0450.7-5813,2.04E-05
670,SWIFTJ0502.1+0332,0.13,SWIFTJ0502.1+0332,712,SWIFTJ0502.1+0332,3.13E-05
671,SWIFTJ0640.4-2554,0.13,SWIFTJ0640.4-2554,786,SWIFTJ0640.4-2554,0.000118
